Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
320,Tyrell Malacia,nl NED,DF,Manchester Utd,22,1999,22,14,"1,396",15.5,0,0,0,0,0,0,6,0
321,Orel Mangala,be BEL,MF,Nott'ham Forest,24,1998,27,20,"1,550",17.2,1,1,2,1,0,0,3,0
322,Javier Manquillo,es ESP,DF,Newcastle Utd,28,1994,4,0,37,0.4,0,0,0,0,0,0,0,0
323,Sekou Mara,fr FRA,"FW,MF",Southampton,20,2002,22,4,555,6.2,1,2,3,1,0,0,1,0
324,Solly March,eng ENG,"FW,DF",Brighton,28,1994,33,31,"2,715",30.2,7,7,14,7,0,0,2,0
325,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1995,1,0,9,0.1,0,0,0,0,0,0,0,0
326,Marquinhos,br BRA,MF,Arsenal,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0
327,Anthony Martial,fr FRA,FW,Manchester Utd,26,1995,21,11,978,10.9,6,2,8,5,1,1,0,0
328,Gabriel Martinelli,br BRA,FW,Arsenal,21,2001,36,34,"2,789",31.0,15,5,20,15,0,0,3,0
329,Emiliano Martínez,ar ARG,GK,Aston Villa,29,1992,36,36,"3,139",34.9,0,0,0,0,0,0,7,0
330,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,1998,27,24,"2,114",23.5,1,0,1,1,0,0,6,0
331,Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,2002,11,2,218,2.4,0,1,1,0,0,0,1,0
332,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,1997,29,6,770,8.6,2,0,2,2,0,0,3,0
333,Joël Matip,cm CMR,DF,Liverpool,30,1991,14,12,"1,092",12.1,1,0,1,1,0,0,3,0
334,Neal Maupay,fr FRA,FW,Everton,25,1996,27,11,"1,118",12.4,1,0,1,1,0,0,4,0
335,Kevin Mbabu,ch SUI,"DF,FW",Fulham,27,1995,6,1,144,1.6,0,1,1,0,0,0,1,0
336,Bryan Mbeumo,cm CMR,FW,Brentford,22,1999,38,36,"2,906",32.3,9,8,17,8,1,1,5,0
337,James McArthur,sct SCO,MF,Crystal Palace,34,1987,4,0,54,0.6,0,0,0,0,0,0,0,0
338,Alex McCarthy,eng ENG,GK,Southampton,32,1989,6,6,540,6.0,0,0,0,0,0,0,0,0
339,John McGinn,sct SCO,"MF,FW",Aston Villa,27,1994,34,30,"2,693",29.9,1,3,4,1,0,0,7,0
340,Scott McKenna,sct SCO,DF,Nott'ham Forest,25,1996,20,19,"1,571",17.5,0,0,0,0,0,0,4,0
341,Weston McKennie,us USA,MF,Leeds United,23,1998,19,16,"1,437",16.0,0,1,1,0,0,0,7,0
342,Dwight McNeil,eng ENG,"FW,MF",Everton,22,1999,36,28,"2,498",27.8,7,3,10,7,0,0,5,0
343,Scott McTominay,sct SCO,MF,Manchester Utd,25,1996,24,10,"1,160",12.9,1,0,1,1,0,0,8,0
344,Ben Mee,eng ENG,DF,Brentford,32,1989,37,37,"3,269",36.3,3,1,4,3,0,0,2,0
345,Edouard Mendy,sn SEN,GK,Chelsea,30,1992,10,9,855,9.5,0,0,0,0,0,0,1,0
346,Nampalys Mendy,sn SEN,MF,Leicester City,30,1992,19,7,757,8.4,1,0,1,1,0,0,1,0
347,Chris Mepham,wls WAL,DF,Bournemouth,24,1997,26,24,"2,199",24.4,0,0,0,0,0,0,7,0
348,Illan Meslier,fr FRA,GK,Leeds United,22,2000,34,34,"3,060",34.0,0,0,0,0,0,0,3,0
349,Alex Mighten,eng ENG,FW,Nott'ham Forest,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0
350,Lewis Miley,eng ENG,MF,Newcastle Utd,16,2006,1,0,15,0.2,0,0,0,0,0,0,0,0
351,Luka Milivojević,rs SRB,MF,Crystal Palace,31,1991,18,5,512,5.7,0,0,0,0,0,0,2,0
352,James Milner,eng ENG,"MF,DF",Liverpool,36,1986,31,7,913,10.1,0,1,1,0,0,0,2,0
353,Yerry Mina,co COL,DF,Everton,27,1994,7,7,594,6.6,2,0,2,2,0,0,2,0
354,Tyrone Mings,eng ENG,DF,Aston Villa,29,1993,35,35,"3,150",35.0,1,2,3,1,0,0,7,0
355,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22,1999,36,34,"2,891",32.1,0,2,2,0,0,0,5,1
356,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,25,1997,33,24,"2,318",25.8,7,5,12,7,0,0,0,0
357,Aleksandar Mitrović,rs SRB,FW,Fulham,27,1994,24,23,"2,008",22.3,14,1,15,10,4,8,7,0
358,Kieffer Moore,wls WAL,FW,Bournemouth,29,1992,27,12,"1,279",14.2,4,0,4,4,0,0,1,0
359,Andrew Moran,ie IRL,FW,Brighton,18,2003,1,0,12,0.1,0,0,0,0,0,0,0,0
360,Álex Moreno,es ESP,DF,Aston Villa,29,1993,19,14,"1,329",14.8,0,3,3,0,0,0,3,0
361,Mason Mount,eng ENG,"MF,FW",Chelsea,23,1999,24,20,"1,648",18.3,3,2,5,3,0,0,4,0
362,Lucas Moura,br BRA,"MF,DF",Tottenham,29,1992,15,0,153,1.7,1,0,1,1,0,0,0,1
